bookId,Book,Author,Genres
162,The Master and Margarita,Mikhail Bulgakov,"['Classics', 'Fiction', 'Russia', 'Fantasy', 'Russian Literature', 'Magical Realism', 'Literature']"
163,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
164,The Complete Sherlock Holmes,Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Crime', 'Short Stories', 'Detective', 'Literature']"
165,In Cold Blood,Truman Capote,"['Nonfiction', 'True Crime', 'Classics', 'Crime', 'Mystery', 'History', 'Thriller']"
166,The Crucible: A Play in Four Acts,Arthur  Miller,"['Classics', 'Plays', 'Fiction', 'Historical Fiction', 'School', 'Drama', 'Read For School']"
167,Heart of Darkness,Joseph Conrad,"['Classics', 'Fiction', 'Literature', 'Africa', 'Historical Fiction', 'School', 'Novels']"
168,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Historical', 'Spain']"
169,The Red Tent,Anita Diamant,"['Historical Fiction', 'Fiction', 'Historical', 'Religion', 'Book Club', 'Feminism', 'Adult']"
170,Love in the Time of Cholera,Gabriel García Márquez,"['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Magical Realism', 'Literature', 'Novels']"
171,The Glass Castle,Jeannette Walls,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult']"
172,The Gift of the Magi,O. Henry,"['Classics', 'Short Stories', 'Fiction', 'Christmas', 'Romance', 'Holiday', 'Literature']"
173,The Unbearable Lightness of Being,Milan Kundera,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Czech Literature', 'Romance']"
174,"Eat, Pray, Love",Elizabeth Gilbert,"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Romance', 'Chick Lit', 'Spirituality']"
175,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Classics', 'Gothic']"
176,The Canterbury Tales,Geoffrey Chaucer,"['Classics', 'Fiction', 'Poetry', 'Literature', 'School', 'Medieval', 'Short Stories']"
177,On the Road,Jack Kerouac,"['Classics', 'Fiction', 'Travel', 'Literature', 'Novels', 'American', 'Adventure']"
178,The Art of War,Sun Tzu,"['Classics', 'Nonfiction', 'Philosophy', 'History', 'War', 'Politics', 'Business']"
179,Aesop's Fables,Aesop,"['Classics', 'Fiction', 'Short Stories', 'Childrens', 'Fantasy', 'Literature', 'Mythology']"
180,The Screwtape Letters,C.S. Lewis,"['Fiction', 'Christian', 'Classics', 'Religion', 'Christianity', 'Fantasy', 'Theology']"
181,Fight Club,Chuck Palahniuk,"['Fiction', 'Classics', 'Contemporary', 'Thriller', 'Novels', 'Mystery', 'Adult']"
